Heloisa Ramos, 24906173896, -23.6920259, -46.5902508
Camila Martins, 46978350265, -23.5437143, -46.5194942
Luna Pereira, 40175982694, -23.4356093, -46.6075565
Ana Cecília Teixeira, 27891436509, -23.4566113, -46.7528648
Ravy Ferreira, 65870124344, -23.8101094, -46.4636737
Murilo Teixeira, 80792546130, -23.4130302, -46.7494558
Agatha Ribeiro, 87601423590, -23.9224446, -46.8131463
Melina Teixeira, 03471286535, -23.7330379, -46.5580656
Arthur Pires, 93274085600, -23.8983007, -46.3779159
Ravi Campos, 27485931628, -23.5554534, -46.6356157
Rafael Novaes, 26348105989, -23.6605154, -46.5595914
Dr. Alexandre da Paz, 47239681564, -23.7391696, -46.7826505
Luna Correia, 36987025177, -23.9355402, -46.4505649
Sra. Maria Isis Ribeiro, 27014598694, -23.6073781, -46.740604
Vinicius Marques, 02675194867, -23.4397637, -46.6221845
Dr. Bruno Farias, 86579302429, -23.4103156, -46.8310928
João Pedro da Conceição, 16985034748, -23.7644897, -46.5481102
Augusto Duarte, 04523186707, -23.8747025, -46.8270271
Emilly Cavalcante, 21645839060, -23.6544597, -46.3651219
Ravi Porto, 47950328665, -23.6755747, -46.712181
Pedro Miguel Ferreira, 94652370199, -23.9152744, -46.7156893
Bianca da Costa, 65482031780, -23.3980988, -46.5449842
Ana Julia Pereira, 74382165946, -23.5073834, -46.4683688
Cecilia Pires, 10463825780, -23.7201097, -46.6992545
Juan Duarte, 62314850998, -23.9856264, -46.6448043
Laís Souza, 51708932488, -23.5581966, -46.4462386
Miguel Albuquerque, 48132569709, -23.992875, -46.8328955
